invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax,total,date,time,payment,cogs,gross_margin_percentage,gross_income,rating
251-20-3784,B,Yangon,Member,Male,Health_and_beauty,67.83,1,3.56,71.22,2019-01-25,20:27,Cash,67.66,4.7619,3.56,9.8
279-54-1428,A,Yangon,Member,Male,Health_and_beauty,12.8,2,1.34,26.88,2019-03-03,12:27,Credit_card,25.54,4.7619,1.34,8.9
679-86-6230,A,Yangon,Normal,Male,Electronic_accessories,72.64,9,34.32,686.45,2019-04-01,11:30,Ewallet,652.13,4.7619,34.32,9.2
392-50-4154,C,Mandalay,Member,Female,Home_and_lifestyle,31.16,5,8.18,163.59,2019-03-21,19:23,Ewallet,155.41,4.7619,8.18,9.8
308-51-2717,A,Mandalay,Normal,Female,Electronic_accessories,63.21,5,16.59,331.85,2019-02-28,14:01,Ewallet,315.26,4.7619,16.59,9.9
667-42-5248,A,Naypyitaw,Member,Female,Electronic_accessories,71.87,5,18.87,377.32,2019-02-10,21:50,Cash,358.45,4.7619,18.87,6.9
696-72-3632,B,Mandalay,Normal,Male,Home_and_lifestyle,8.98,3,1.41,28.29,2019-03-11,13:04,Cash,26.88,4.7619,1.41,6.1
615-48-9071,A,Naypyitaw,Member,Male,Home_and_lifestyle,53.09,6,16.72,334.47,2019-01-05,21:42,Ewallet,317.75,4.7619,16.72,5.0
753-21-5995,B,Mandalay,Member,Male,Home_and_lifestyle,68.82,4,14.45,289.04,2019-01-05,16:37,Ewallet,274.59,4.7619,14.45,7.7
861-83-7007,A,Yangon,Member,Male,Home_and_lifestyle,64.22,7,23.6,472.02,2019-01-18,12:59,Ewallet,448.42,4.7619,23.6,5.5
317-83-5424,C,Naypyitaw,Normal,Female,Electronic_accessories,65.98,8,27.71,554.23,2019-02-22,18:10,Credit_card,526.52,4.7619,27.71,6.9
390-21-8197,C,Mandalay,Member,Male,Home_and_lifestyle,60.61,5,15.91,318.2,2019-01-02,15:29,Ewallet,302.29,4.7619,15.91,9.2
571-77-4107,A,Naypyitaw,Normal,Male,Electronic_accessories,51.75,8,21.73,434.7,2019-02-17,20:37,Credit_card,412.97,4.7619,21.73,5.5
444-87-6479,C,Yangon,Normal,Male,Electronic_accessories,46.27,10,24.29,485.84,2019-01-09,10:07,Cash,461.55,4.7619,24.29,6.0
716-10-6469,C,Naypyitaw,Member,Female,Health_and_beauty,58.44,4,12.27,245.45,2019-02-25,15:41,Credit_card,233.18,4.7619,12.27,7.4
429-55-3750,B,Mandalay,Member,Female,Home_and_lifestyle,31.82,5,8.35,167.06,2019-02-16,21:07,Credit_card,158.71,4.7619,8.35,7.9
665-37-3884,C,Naypyitaw,Normal,Female,Home_and_lifestyle,66.68,5,17.5,350.07,2019-03-25,13:14,Credit_card,332.57,4.7619,17.5,8.4
177-46-3201,C,Mandalay,Normal,Male,Home_and_lifestyle,87.78,9,41.48,829.52,2019-01-09,16:26,Ewallet,788.04,4.7619,41.48,9.6
252-32-5097,C,Mandalay,Normal,Female,Electronic_accessories,89.12,4,18.71,374.3,2019-01-20,21:36,Cash,355.59,4.7619,18.71,9.2
824-39-7210,B,Naypyitaw,Member,Male,Electronic_accessories,40.58,4,8.52,170.44,2019-01-02,12:29,Cash,161.92,4.7619,8.52,9.7
121-72-1985,A,Yangon,Normal,Male,Electronic_accessories,99.17,9,46.86,937.16,2019-02-01,14:52,Cash,890.3,4.7619,46.86,7.3
262-22-5750,C,Mandalay,Member,Female,Electronic_accessories,78.9,9,37.28,745.61,2019-03-27,14:58,Credit_card,708.33,4.7619,37.28,7.3
656-28-3435,C,Mandalay,Member,Male,Electronic_accessories,8.55,9,4.04,80.8,2019-02-10,14:50,Credit_card,76.76,4.7619,4.04,6.7
330-68-6671,B,Naypyitaw,Normal,Female,Home_and_lifestyle,15.04,1,0.79,15.79,2019-03-12,12:50,Cash,15.0,4.7619,0.79,9.3
844-42-6662,B,Yangon,Member,Male,Home_and_lifestyle,74.32,3,11.71,234.11,2019-02-12,10:20,Credit_card,222.4,4.7619,11.71,6.4
396-33-4562,C,Naypyitaw,Normal,Male,Electronic_accessories,50.54,7,18.57,371.47,2019-02-28,14:39,Cash,352.9,4.7619,18.57,6.7
766-66-3296,A,Yangon,Normal,Female,Health_and_beauty,5.05,5,1.33,26.51,2019-01-17,21:19,Ewallet,25.18,4.7619,1.33,10.0
513-45-6137,B,Mandalay,Member,Female,Home_and_lifestyle,87.19,3,13.73,274.65,2019-01-16,14:21,Ewallet,260.92,4.7619,13.73,5.6
649-54-4889,C,Yangon,Normal,Female,Electronic_accessories,29.51,4,6.2,123.94,2019-01-04,15:13,Cash,117.74,4.7619,6.2,8.6
318-67-3391,C,Yangon,Normal,Female,Electronic_accessories,70.54,4,14.81,296.27,2019-01-31,16:41,Ewallet,281.46,4.7619,14.81,8.7
608-43-4048,C,Mandalay,Normal,Male,Electronic_accessories,42.66,5,11.2,223.97,2019-03-12,22:08,Credit_card,212.77,4.7619,11.2,6.4
101-88-4382,C,Yangon,Normal,Female,Home_and_lifestyle,99.93,2,10.49,209.85,2019-01-05,15:09,Cash,199.36,4.7619,10.49,9.8
376-56-3871,A,Naypyitaw,Member,Male,Home_and_lifestyle,93.91,10,49.3,986.05,2019-03-26,14:03,Credit_card,936.75,4.7619,49.3,9.9
256-86-5396,C,Naypyitaw,Member,Female,Home_and_lifestyle,8.83,2,0.93,18.54,2019-03-14,17:36,Credit_card,17.61,4.7619,0.93,9.0
604-14-1594,C,Naypyitaw,Member,Female,Electronic_accessories,75.3,5,19.77,395.32,2019-03-09,19:07,Ewallet,375.55,4.7619,19.77,5.6
447-54-3718,C,Mandalay,Member,Male,Health_and_beauty,68.25,7,25.08,501.64,2019-02-28,10:12,Credit_card,476.56,4.7619,25.08,7.5
307-86-2553,A,Yangon,Member,Male,Home_and_lifestyle,54.75,7,20.12,402.41,2019-03-04,19:15,Cash,382.29,4.7619,20.12,7.5
363-75-3141,B,Yangon,Normal,Female,Electronic_accessories,17.57,3,2.77,55.35,2019-01-18,13:40,Credit_card,52.58,4.7619,2.77,6.9
946-55-8987,B,Yangon,Normal,Female,Home_and_lifestyle,87.16,5,22.88,457.59,2019-02-28,18:34,Cash,434.71,4.7619,22.88,6.5
577-48-8639,C,Mandalay,Normal,Female,Home_and_lifestyle,69.86,4,14.67,293.41,2019-01-01,10:13,Credit_card,278.74,4.7619,14.67,6.8
845-80-7883,A,Mandalay,Normal,Male,Electronic_accessories,33.34,8,14.0,280.06,2019-03-17,19:40,Cash,266.06,4.7619,14.0,5.9
770-52-8090,C,Naypyitaw,Normal,Female,Electronic_accessories,58.65,5,15.4,307.91,2019-04-01,19:58,Cash,292.51,4.7619,15.4,7.3
153-34-6919,A,Mandalay,Member,Male,Electronic_accessories,46.55,8,19.55,391.02,2019-03-09,21:45,Cash,371.47,4.7619,19.55,8.4
527-19-9014,A,Yangon,Normal,Female,Health_and_beauty,19.85,7,7.3,145.9,2019-01-23,11:52,Credit_card,138.6,4.7619,7.3,6.0
268-14-7845,C,Yangon,Member,Male,Home_and_lifestyle,78.83,2,8.28,165.54,2019-02-23,15:23,Cash,157.26,4.7619,8.28,5.3
369-24-1746,A,Naypyitaw,Member,Female,Health_and_beauty,44.95,10,23.6,471.98,2019-03-18,15:12,Cash,448.38,4.7619,23.6,8.0
330-80-4847,A,Yangon,Normal,Male,Home_and_lifestyle,95.42,2,10.02,200.38,2019-02-12,14:49,Credit_card,190.36,4.7619,10.02,7.0
257-95-7831,B,Yangon,Member,Male,Health_and_beauty,6.54,9,3.09,61.8,2019-03-17,10:29,Credit_card,58.71,4.7619,3.09,7.2
893-10-7214,A,Yangon,Normal,Male,Health_and_beauty,53.45,2,5.61,112.25,2019-02-17,10:50,Credit_card,106.64,4.7619,5.61,6.0
332-86-5544,A,Yangon,Normal,Female,Home_and_lifestyle,70.59,9,33.35,667.08,2019-02-08,22:42,Cash,633.73,4.7619,33.35,6.5
782-32-4530,B,Naypyitaw,Member,Male,Home_and_lifestyle,45.11,9,21.31,426.29,2019-03-13,21:57,Cash,404.98,4.7619,21.31,5.3
800-48-4186,B,Mandalay,Normal,Male,Home_and_lifestyle,98.78,9,46.67,933.47,2019-03-12,11:53,Credit_card,886.8,4.7619,46.67,8.8
380-25-7554,C,Yangon,Normal,Male,Home_and_lifestyle,62.31,7,22.9,457.98,2019-01-07,17:36,Ewallet,435.08,4.7619,22.9,7.7
662-85-3465,B,Yangon,Normal,Female,Electronic_accessories,67.31,1,3.53,70.68,2019-03-11,14:28,Credit_card,67.15,4.7619,3.53,8.1
835-57-4809,C,Naypyitaw,Normal,Male,Health_and_beauty,67.91,6,21.39,427.83,2019-04-01,22:15,Cash,406.44,4.7619,21.39,6.0
618-15-5035,C,Yangon,Normal,Female,Home_and_lifestyle,83.05,8,34.88,697.62,2019-02-07,20:29,Ewallet,662.74,4.7619,34.88,6.2
758-34-8325,A,Mandalay,Normal,Male,Electronic_accessories,28.57,8,12.0,239.99,2019-01-18,17:32,Ewallet,227.99,4.7619,12.0,6.4
370-39-5377,C,Naypyitaw,Normal,Male,Electronic_accessories,9.36,3,1.47,29.48,2019-03-27,13:05,Cash,28.01,4.7619,1.47,5.5
871-37-8137,C,Mandalay,Normal,Female,Home_and_lifestyle,31.93,3,5.03,100.58,2019-02-02,17:32,Credit_card,95.55,4.7619,5.03,8.2
714-20-4205,B,Naypyitaw,Normal,Female,Electronic_accessories,45.51,2,4.78,95.57,2019-01-22,14:02,Credit_card,90.79,4.7619,4.78,6.1
684-83-1210,C,Mandalay,Member,Female,Electronic_accessories,44.73,8,18.79,375.73,2019-02-20,17:43,Cash,356.94,4.7619,18.79,6.7
399-28-7923,C,Naypyitaw,Normal,Female,Electronic_accessories,67.35,7,24.75,495.02,2019-03-16,13:21,Credit_card,470.27,4.7619,24.75,7.9
437-31-3108,A,Yangon,Normal,Male,Home_and_lifestyle,23.11,2,2.43,48.53,2019-02-15,14:23,Credit_card,46.1,4.7619,2.43,7.9
631-14-2284,C,Naypyitaw,Member,Male,Electronic_accessories,10.77,3,1.7,33.93,2019-03-04,14:13,Cash,32.23,4.7619,1.7,10.0
446-86-5080,A,Yangon,Member,Female,Health_and_beauty,45.05,10,23.65,473.03,2019-02-09,15:22,Credit_card,449.38,4.7619,23.65,5.7
642-97-4370,B,Naypyitaw,Member,Male,Electronic_accessories,55.43,6,17.46,349.21,2019-02-02,14:55,Credit_card,331.75,4.7619,17.46,6.1
595-28-2197,C,Yangon,Member,Male,Health_and_beauty,78.66,4,16.52,330.37,2019-03-04,10:54,Ewallet,313.85,4.7619,16.52,7.6
985-72-8450,A,Naypyitaw,Normal,Female,Electronic_accessories,57.85,8,24.3,485.94,2019-03-18,19:34,Cash,461.64,4.7619,24.3,9.4
914-81-7471,C,Mandalay,Member,Female,Health_and_beauty,65.15,8,27.36,547.26,2019-02-08,14:42,Cash,519.9,4.7619,27.36,5.8
